AgingMOSFET0X,AgingMOSFET0Y,AgingMOSFET1X,AgingMOSFET1Y,AgingMOSFET2X,AgingMOSFET2Y,AgingMOSFET4X,AgingMOSFET4Y,AgingMOSFET5X,AgingMOSFET5Y,AgingMOSFET6X,AgingMOSFET6Y,AgingMOSFET7X,AgingMOSFET7Y
2.751655402,4.493148311,1.748650083,4.392980615,2.766376616,4.405025682,1.020440742,4.338991146,3.108890174,4.384250403,3.424905548,4.28821807,3.15010957,4.218376374
2.834094196,4.495445736,1.831088877,4.395507782,2.844711313,4.405616448,0.986091245,4.292583176,3.308117257,4.39100483,3.507344341,4.291204722,3.232548364,4.221363025
2.916532989,4.497513417,1.91352767,4.398494433,2.937142687,4.414404096,1.102879536,4.34220754,3.514214241,4.397897103,3.589783135,4.294650858,3.314987157,4.224349677
2.998971782,4.499581099,1.995966463,4.401251342,2.916532989,4.402859539,1.082269837,4.31479161,3.720311224,4.404789376,3.672221928,4.29763751,3.39742595,4.227795813
3.081410576,4.502338008,2.078405257,4.404237994,3.018207501,4.416230548,1.185318329,4.344964449,3.933278107,4.411819494,3.754660721,4.301313388,3.479864744,4.231012207
3.163849369,4.50440569,2.16084405,4.40676516,2.985231984,4.405616448,1.267757122,4.347491615,4.13937509,4.41526563,3.837099515,4.30430004,3.562303537,4.234228601
3.246288162,4.506703114,2.243282843,4.409751812,3.095150375,4.427212236,1.350195916,4.350248524,4.345472074,4.418022539,3.919538308,4.307746176,3.64474233,4.237215252
3.328726956,4.509000538,2.325721637,4.412738463,3.095150375,4.409981554,1.432634709,4.352775691,4.551569057,4.420779448,4.001977101,4.31096257,3.727181124,4.240661389
3.411165749,4.51106822,2.40816043,4.415495372,3.177589168,4.430658372,1.515073502,4.355762343,4.75766604,4.4237661,4.084415895,4.313489737,3.809619917,4.24364804
3.493604542,4.513365644,2.490599224,4.418252281,3.177589168,4.412738463,1.597512296,4.358519252,4.950023225,4.426523009,4.166854688,4.316016903,3.89205871,4.246634692
3.576043336,4.516122554,2.573038017,4.421009191,3.260027961,4.434563994,1.679951089,4.361735646,5.039331918,4.429739403,4.249293481,4.31854407,3.974497504,4.249851086
3.658482129,4.518190235,2.65547681,4.4237661,3.260027961,4.415495372,1.762389882,4.364722297,5.12726663,4.433736921,4.331732275,4.321071237,4.056936297,4.25122954
3.740920922,4.52048766,2.737915604,4.426523009,3.342466755,4.438239872,1.844828676,4.367249464,5.204209504,4.437320903,4.414171068,4.323598403,4.13937509,4.25214851
3.823359716,4.522555341,2.820354397,4.429279918,3.342466755,4.418252281,1.927267469,4.370465858,5.293518197,4.442375236,4.496609861,4.32612557,4.221813884,4.252607995
3.905798509,4.524852766,2.90279319,4.432266569,3.424905548,4.441915751,2.009706262,4.372763282,5.37595699,4.445132145,4.579048655,4.328652737,4.304252677,4.252607995
3.988237302,4.526920447,2.985231984,4.434793736,3.424905548,4.421238933,2.092145056,4.375979676,5.472135583,4.450875706,4.661487448,4.331409646,4.38669147,4.253756707
4.070676096,4.526920447,3.067670777,4.43801013,3.507344341,4.445821372,2.174583849,4.377817615,5.558696316,4.454138048,4.743926241,4.33370707,4.469130264,4.255364904
4.153114889,4.526920447,3.15010957,4.440537296,3.507344341,4.4237661,2.257022642,4.381034009,5.637013169,4.458686948,4.826365035,4.336463979,4.551569057,4.255364904
4.235553682,4.526920447,3.232548364,4.44279643,3.589783135,4.449497251,2.339461436,4.383101691,5.719451963,4.462362827,4.908803828,4.339220888,4.63400785,4.255364904
4.317992476,4.526920447,3.314987157,4.445132145,3.589783135,4.426752751,2.421900229,4.386318085,5.801890756,4.466038705,4.991242621,4.341748055,4.716446644,4.256743358
4.400431269,4.526920447,3.39742595,4.447582731,3.672221928,4.45317313,2.504339022,4.388845251,5.884329549,4.470403811,5.073681415,4.343585994,4.798885437,4.257202843
4.482870062,4.526920447,3.479864744,4.451794675,3.672221928,4.42950966,2.586777816,4.391831903,5.966768343,4.47407969,5.156120208,4.345423934,4.88132423,4.258121813
4.565308856,4.526920447,3.562303537,4.454092099,3.754660721,4.457078751,2.669216609,4.39435907,6.049207136,4.479134024,5.238559001,4.347491615,4.963763024,4.258351555
4.647747649,4.526920447,3.64474233,4.457078751,3.754660721,4.432266569,2.751655402,4.397115979,6.131645929,4.484188357,5.320997795,4.34978904,5.046201817,4.262027434
4.730186442,4.526920447,3.727181124,4.459912241,3.837099515,4.46075463,2.834094196,4.40010263,6.214084723,4.489931917,5.403436588,4.351626979,5.12864061,4.26731151
4.812625236,4.526920447,3.809619917,4.462745731,3.837099515,4.435023478,2.916532989,4.402629797,6.296523516,4.495675478,5.485875381,4.353464918,5.211079404,4.272595586
4.895064029,4.526920447,3.89205871,4.465579221,3.919538308,4.464430508,2.998971782,4.405616448,6.378962309,4.500270326,5.568314175,4.355762343,5.293518197,4.277190434
4.977502823,4.52715019,3.974497504,4.468106387,3.919538308,4.437780387,3.081410576,4.407913872,6.465523042,4.506795011,5.650752968,4.357600282,5.37595699,4.28247451
5.059941616,4.530826069,4.056936297,4.469255099,4.001977101,4.466268448,3.163849369,4.411130266,6.543839896,4.511297963,5.733191761,4.359438221,5.458395784,4.287528843
5.142380409,4.535650659,4.13937509,4.468833905,4.001977101,4.440307554,3.246288162,4.413657433,6.626278689,4.516811781,5.815630555,4.361735646,5.540834577,4.292353434
5.224819203,4.540245508,4.221813884,4.467034256,4.084415895,4.465119736,3.328726956,4.416414342,6.708717483,4.52339773,5.898069348,4.363803327,5.62327337,4.29763751
5.307257996,4.544840356,4.290512878,4.452943387,4.084415895,4.44375369,3.411165749,4.418941509,6.791156276,4.529524195,5.980508141,4.365871009,5.705712164,4.302921585
5.389696789,4.549435205,4.304252677,4.46933168,4.166854688,4.460984372,3.493604542,4.42192816,6.873595069,4.532664008,6.062946935,4.372303797,5.788150957,4.307746176
5.472135583,4.553800311,4.366081772,4.457653107,4.159984789,4.446143012,3.576043336,4.424685069,6.956033863,4.538177826,6.145385728,4.380115039,5.87058975,4.313030252
5.554574376,4.558624902,4.427910867,4.46741716,4.249293481,4.454551584,3.658482129,4.427212236,7.038472656,4.542083447,6.227824521,4.387237054,5.953028544,4.317854843
5.637013169,4.563449493,4.509725124,4.461882456,4.331732275,4.454475003,3.740920922,4.430198887,7.120911449,4.542083447,6.310263315,4.395048297,6.035467337,4.323138919
